filename,M,N,K,batch,tuning_folder_path,proxy_shapes
fused_op_mm_17d036f7fbba908cc2aac89e5b38ea88c7081d89_150000x4096xbfloat16_4096x1024xbfloat16.mlir,150000,1024,4096,1,,"aten::mm '[[150000, 4096], [4096, 1024]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[4096, 1], [1024, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_1846216c3f2564f25eed76f9a1eddf979add43d9_150000x2048xbfloat16_150000x1024xbfloat16.mlir,2048,1024,150000,1,,"aten::mm '[[2048, 150000], [150000, 1024]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 2048], [1024, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_1b6df0c6373cc8ab746da29f75f57a4678d848cc_11520x3840xbfloat16_11520x3840xbfloat16.mlir,3840,3840,11520,1,,"aten::mm '[[3840, 11520], [11520, 3840]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 3840], [3840, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_1cf3cd72f4c1e969938577d0a4c7fd56f371d7ce_1285x3840xbfloat16_1285x2048xbfloat16.mlir,3840,2048,1285,1,,"aten::mm '[[3840, 1285], [1285, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 3840], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_23a1904c23d796acf48d30815be1f767e3debc24_4096x2048xbfloat16_2048x2048xbfloat16.mlir,4096,2048,2048,1,,"aten::mm '[[4096, 2048], [2048, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2048, 1], [1, 2048]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_30ef1e0210111b73d9e49dcf4b77927e7646edd6_1280x3840xbfloat16_3840x3840xbfloat16.mlir,1280,3840,3840,1,,"aten::mm '[[1280, 3840], [3840, 3840]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[3840, 1], [1, 3840]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_30fb13ca54bad673af6a17af15544e136318cef7_4112x8192xbfloat16_4112x2048xbfloat16.mlir,8192,2048,4112,1,,"aten::mm '[[8192, 4112], [4112, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 8192], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_369d8f851dfa3ddd71ef3df7293e325504d80678_150000x4096xbfloat16_4096x2048xbfloat16.mlir,150000,2048,4096,1,,"aten::mm '[[150000, 4096], [4096, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[4096, 1], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_36c13bd10c7cf5203d16246e2317b0fb842c2377_24576x2048xbfloat16_24576x1536xbfloat16.mlir,2048,1536,24576,1,,"aten::mm '[[2048, 24576], [24576, 1536]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 2048], [1536, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_3794936e178e20c6c685e03ab93642960e15e66d_150000x16384xbfloat16_16384x4096xbfloat16.mlir,150000,4096,16384,1,,"aten::mm '[[150000, 16384], [16384, 4096]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[16384, 1], [4096, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_380f67cd45d60a100f88dffc98f4013983032ec1_150000x4096xbfloat16_150000x4096xbfloat16.mlir,4096,4096,150000,1,,"aten::mm '[[4096, 150000], [150000, 4096]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 4096], [4096, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_382c07ac79bbe3bfdc6d4f3d59dc18335a62687a_1280x7680xbfloat16_1280x3840xbfloat16.mlir,7680,3840,1280,1,,"aten::mm '[[7680, 1280], [1280, 3840]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 7680], [3840, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_3bae4c2bfbe0ebbc639738b4ac09969f231dd821_4096x2048xbfloat16_2048x2048xbfloat16.mlir,4096,2048,2048,1,,"aten::mm '[[4096, 2048], [2048, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2048, 1], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
fused_op_mm_3d73bf58ee0769d1028dbc79275b963eaef9fa7a_1285x2048xbfloat16_8192x2048xbfloat16.mlir,1285,8192,2048,1,,"aten::mm '[[1285, 2048], [2048, 8192]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2048, 1], [1, 2048]]' '['""'""''""'""', '""'""''""'""']'"
